currentTime,Rev,Torque%,Torque,power
2024-08-20 23:40:00+00:00,925.323,3.333333333,73.333333326,7.1059679759997385
2024-08-20 23:41:00+00:00,1279.306667,38.83333333,854.33333326,114.45386877361177
2024-08-20 23:42:00+00:00,1359.431333,34.66666667,762.66666674,108.57266641544668
2024-08-20 23:43:00+00:00,1301.832,22.0,484.0,65.9825000785398
2024-08-20 23:44:00+00:00,1354.989667,36.0,792.0,112.38015522226762
2024-08-20 23:45:00+00:00,1341.051,41.33333333,909.33333326,127.70175572048802
2024-08-20 23:46:00+00:00,1340.831667,28.16666667,619.66666674,87.00833461607947
2024-08-20 23:47:00+00:00,1246.352667,36.0,792.0,103.37001793471774
2024-08-20 23:48:00+00:00,1081.031333,37.16666667,817.66666674,92.56419702968897
2024-08-20 23:49:00+00:00,1111.990333,33.33333333,733.33333326,85.39469672664882
2024-08-20 23:50:00+00:00,1086.435,35.66666667,784.66666674,89.27244196743969
2024-08-20 23:51:00+00:00,941.3073333,24.0,528.0,52.046775363890546
2024-08-20 23:52:00+00:00,1266.961667,19.0,418.0,55.45851285497367
2024-08-20 23:53:00+00:00,1100.123,28.5,627.0,72.23326537023657
2024-08-20 23:54:00+00:00,1328.115333,56.33333333,1239.33333326,172.366309844764
2024-08-20 23:55:00+00:00,1148.610667,47.5,1045.0,125.69488308200602
2024-08-20 23:56:00+00:00,946.6776667,22.0,484.0,47.98173590554282
2024-08-20 23:57:00+00:00,1507.423,39.33333333,865.33333326,136.5988469545191
2024-08-20 23:58:00+00:00,1287.351667,59.16666667,1301.66666674,175.47911923450644
2024-08-20 23:59:00+00:00,810.4103333,5.0,110.0,9.335253543505809
2024-08-21 00:00:00+00:00,1116.923,41.66666667,916.66666674,107.21687279855497
2024-08-21 00:01:00+00:00,1205.148333,25.33333333,557.33333326,70.33702339476429
2024-08-21 00:02:00+00:00,1065.256,5.833333333,128.333333326,14.316007804291567
2024-08-21 00:03:00+00:00,1254.669,28.83333333,634.33333326,83.34415809619459
2024-08-21 00:04:00+00:00,1264.836,9.833333333,216.33333332600003,28.65405715505059
2024-08-21 00:05:00+00:00,1319.869,19.16666667,421.66666674,58.28121032572618
2024-08-21 00:06:00+00:00,1315.999,31.0,682.0,93.98713183165259
2024-08-21 00:07:00+00:00,1124.481333,32.5,715.0,84.19508792215136
2024-08-21 00:08:00+00:00,1097.003,11.16666667,245.66666674,28.22165712814345
2024-08-21 00:09:00+00:00,1262.785667,12.33333333,271.33333326,35.8807288722799
2024-08-21 00:10:00+00:00,1380.926667,21.16666667,465.66666674,67.340173419441
2024-08-21 00:11:00+00:00,1160.393667,29.33333333,645.33333326,78.41838805136551
2024-08-21 00:12:00+00:00,1300.123667,17.66666667,388.66666674,52.91641607266248
2024-08-21 00:13:00+00:00,989.9696667,9.5,209.0,21.666892896892964
2024-08-21 00:14:00+00:00,1260.619333,34.16666667,751.66666674,99.22879499692252
2024-08-21 00:15:00+00:00,1124.339667,7.666666667,168.666666674,19.858903149157022
2024-08-21 00:16:00+00:00,1159.81,33.0,726.0,88.17631239986177
2024-08-21 00:17:00+00:00,1038.977667,18.33333333,403.33333326,43.88325066903421
2024-08-21 00:18:00+00:00,1023.118667,25.16666667,553.66666674,59.32023311000409
2024-08-21 00:19:00+00:00,973.0236667,12.66666667,278.66666674,28.394674149772417
2024-08-21 00:20:00+00:00,975.994,33.33333333,733.33333326,74.95093182345937
2024-08-21 00:21:00+00:00,996.8026667,26.0,572.0,59.70815927370593
2024-08-21 00:22:00+00:00,888.5566667,15.0,330.0,30.70630308095882
2024-08-21 00:23:00+00:00,822.6446667,12.0,264.0,22.74283895246772
2024-08-21 00:24:00+00:00,1309.273,53.16666667,1169.66666674,160.36913551387852
2024-08-21 00:25:00+00:00,1051.164333,28.5,627.0,69.0186753784047
2024-08-21 00:26:00+00:00,960.978,7.5,165.0,16.604501900662875
2024-08-21 00:27:00+00:00,919.6446667,27.83333333,612.33333326,58.97071870976855
2024-08-21 00:28:00+00:00,968.84,20.83333333,458.33333326,46.50096515929109
2024-08-21 00:29:00+00:00,1283.364667,24.66666667,542.66666674,72.93091913048916
2024-08-21 00:30:00+00:00,1061.285667,10.16666667,223.66666674,24.85776209741318
2024-08-21 00:31:00+00:00,935.265,35.66666667,784.66666674,76.85079221184654
2024-08-21 00:32:00+00:00,856.2483333,31.0,682.0,61.15226909936855
2024-08-21 00:33:00+00:00,1056.444333,29.5,649.0,71.79922843737238
2024-08-21 00:34:00+00:00,924.1146667,27.0,594.0,57.483178036065475
2024-08-21 00:35:00+00:00,855.482,18.0,396.0,35.47599007257077
2024-08-21 00:36:00+00:00,728.0983333,21.33333333,469.33333326,35.784907554348436
2024-08-21 00:37:00+00:00,648.3813333,7.666666667,168.666666674,11.45218164905855
2024-08-21 00:38:00+00:00,882.4323333,15.16666667,333.66666674,30.833490965391363
2024-08-21 00:39:00+00:00,1518.44,15.33333333,337.33333326,53.63957845656901
2024-08-21 00:40:00+00:00,1690.515667,19.16666667,421.66666674,74.64778636922473
2024-08-21 00:41:00+00:00,1309.277333,16.16666667,355.66666674,48.7644439766629
2024-08-21 00:42:00+00:00,651.1566667,7.166666667,157.666666674,10.751123236377726
2024-08-21 00:43:00+00:00,651.3986667,6.833333333,150.333333326,10.254880764990428
2024-08-21 00:44:00+00:00,649.1693333,7.0,154.0,10.469047713256469
2024-08-21 00:45:00+00:00,649.4946667,7.5,165.0,11.222458191228679
2024-08-21 00:46:00+00:00,648.1986667,6.833333333,150.333333326,10.20450359947639
2024-08-21 00:47:00+00:00,648.8475,6.5,143.0,9.716439163080016
2024-08-21 00:57:00+00:00,1487.867857,16.33333333,359.33333326,55.98740394649064
2024-08-21 00:58:00+00:00,1883.485667,16.16666667,355.66666674,70.15101306215698
2024-08-21 00:59:00+00:00,1992.281,16.5,363.0,75.73309069774749
2024-08-21 01:00:00+00:00,2046.623333,13.16666667,289.66666674,62.08188651968407
2024-08-21 01:01:00+00:00,2042.560333,14.16666667,311.66666674,66.66435975427041
2024-08-21 01:02:00+00:00,1938.907,12.83333333,282.33333326,57.32546638927952
2024-08-21 01:03:00+00:00,1350.385667,15.0,330.0,46.665961914485884
2024-08-21 01:04:00+00:00,1483.590333,8.666666667,190.66666667399997,29.622194663784743
2024-08-21 01:05:00+00:00,901.994,16.0,352.0,33.248708072843044
2024-08-21 01:06:00+00:00,1324.915,22.83333333,502.33333326,69.69610005300629
2024-08-21 01:07:00+00:00,1064.844333,24.16666667,531.66666674,59.286255235785724
2024-08-21 01:08:00+00:00,1088.202333,28.83333333,634.33333326,72.28624225369384
2024-08-21 01:09:00+00:00,1185.865,20.33333333,447.33333326,55.55139573019698
