locationTime,accumulated_usage
2024-09-01 00:01:00,214613.5
2024-09-01 00:02:00,214614.0
2024-09-01 00:03:00,214614.0
2024-09-01 00:04:00,214614.5
2024-09-01 00:05:00,214615.0
2024-09-01 00:06:00,214615.5
2024-09-01 00:07:00,214616.5
2024-09-01 00:08:00,214617.5
2024-09-01 00:09:00,214618.0
2024-09-01 00:10:00,214618.5
2024-09-01 00:11:00,214619.0
2024-09-01 00:12:00,214620.0
2024-09-01 00:13:00,214620.5
2024-09-01 00:14:00,214621.5
2024-09-01 00:15:00,214622.0
2024-09-01 00:16:00,214622.5
2024-09-01 00:17:00,214623.0
2024-09-01 00:18:00,214623.5
2024-09-01 00:19:00,214624.0
2024-09-01 00:20:00,214625.0
2024-09-01 00:21:00,214625.5
2024-09-01 00:22:00,214626.0
2024-09-01 00:23:00,214627.0
2024-09-01 00:24:00,214627.5
2024-09-01 00:25:00,214628.5
2024-09-01 00:26:00,214628.5
2024-09-01 00:27:00,214629.0
2024-09-01 00:28:00,214629.5
2024-09-01 00:29:00,214630.5
2024-09-01 00:30:00,214631.0
2024-09-01 00:31:00,214631.0
2024-09-01 00:32:00,214632.5
2024-09-01 00:33:00,214633.5
2024-09-01 00:34:00,214634.0
2024-09-01 00:35:00,214635.0
2024-09-01 00:36:00,214635.5
2024-09-01 00:37:00,214636.0
2024-09-01 00:38:00,214637.0
2024-09-01 00:39:00,214637.5
2024-09-01 00:40:00,214638.5
2024-09-01 00:41:00,214639.5
2024-09-01 00:42:00,214640.0
2024-09-01 00:43:00,214640.5
2024-09-01 00:44:00,214641.0
2024-09-01 00:45:00,214641.0
2024-09-01 00:46:00,214641.0
2024-09-01 00:47:00,214641.5
2024-09-01 00:48:00,214641.5
2024-09-01 00:49:00,214642.0
2024-09-01 00:50:00,214642.0
2024-09-01 00:51:00,214642.0
2024-09-01 00:52:00,214642.5
2024-09-01 00:53:00,214642.5
2024-09-01 00:54:00,214642.5
2024-09-01 00:55:00,214643.0
2024-09-01 00:56:00,214643.0
2024-09-01 00:57:00,214643.0
2024-09-01 00:58:00,214643.5
2024-09-01 00:59:00,214643.5
2024-09-01 01:00:00,214643.5
2024-09-01 01:01:00,214644.0
2024-09-01 01:02:00,214644.0
2024-09-01 01:03:00,214644.0
2024-09-01 01:04:00,214644.5
2024-09-01 01:05:00,214644.5
2024-09-01 01:06:00,214644.5
2024-09-01 01:07:00,214645.0
2024-09-01 01:08:00,214645.0
2024-09-01 01:09:00,214645.0
2024-09-01 01:10:00,214645.5
2024-09-01 01:11:00,214646.5
2024-09-01 01:12:00,214646.5
2024-09-01 01:13:00,214646.5
2024-09-01 01:14:00,214647.0
2024-09-01 01:15:00,214647.0
2024-09-01 01:16:00,214648.0
2024-09-01 01:17:00,214649.5
2024-09-01 01:18:00,214651.0
2024-09-01 01:19:00,214651.5
2024-09-01 01:20:00,214653.0
2024-09-01 01:21:00,214653.5
2024-09-01 01:22:00,214654.0
2024-09-01 01:23:00,214654.5
2024-09-01 01:24:00,214655.0
2024-09-01 01:25:00,214655.5
2024-09-01 01:26:00,214656.0
2024-09-01 01:27:00,214657.0
2024-09-01 01:28:00,214657.5
2024-09-01 01:29:00,214658.0
2024-09-01 01:30:00,214659.0
2024-09-01 01:31:00,214659.5
2024-09-01 01:32:00,214660.5
2024-09-01 01:33:00,214661.0
2024-09-01 01:34:00,214662.0
2024-09-01 01:35:00,214663.0
2024-09-01 01:36:00,214663.5
2024-09-01 01:37:00,214664.5
2024-09-01 01:38:00,214666.0
2024-09-01 01:39:00,214667.5
2024-09-01 01:40:00,214668.0
2024-09-01 01:41:00,214669.0
2024-09-01 01:42:00,214670.0
2024-09-01 01:43:00,214670.5
2024-09-01 01:44:00,214671.5
2024-09-01 01:45:00,214672.5
2024-09-01 01:46:00,214673.5
2024-09-01 01:47:00,214674.0
2024-09-01 01:48:00,214674.0
2024-09-01 01:49:00,214675.0
2024-09-01 01:50:00,214676.5
2024-09-01 01:51:00,214677.5
2024-09-01 01:52:00,214679.0
2024-09-01 01:53:00,214680.5
2024-09-01 01:54:00,214681.5
2024-09-01 01:55:00,214682.5
2024-09-01 01:56:00,214683.5
2024-09-01 01:57:00,214684.0
2024-09-01 01:58:00,214684.5
2024-09-01 01:59:00,214684.5
2024-09-01 02:00:00,214685.5
2024-09-01 02:01:00,214686.0
2024-09-01 02:02:00,214686.5
2024-09-01 02:03:00,214687.5
2024-09-01 02:04:00,214687.5
2024-09-01 02:05:00,214688.0
2024-09-01 02:06:00,214688.0
2024-09-01 02:07:00,214688.5
2024-09-01 02:08:00,214689.5
2024-09-01 02:09:00,214691.0
2024-09-01 02:10:00,214692.0
2024-09-01 02:11:00,214692.5
2024-09-01 02:12:00,214693.0
2024-09-01 02:13:00,214694.0
2024-09-01 02:14:00,214694.0
2024-09-01 02:15:00,214694.5
2024-09-01 02:16:00,214695.5
2024-09-01 02:17:00,214696.5
2024-09-01 02:18:00,214697.0
2024-09-01 02:19:00,214698.0
2024-09-01 02:20:00,214699.5
2024-09-01 02:21:00,214700.0
2024-09-01 02:22:00,214702.0
2024-09-01 02:23:00,214703.5
2024-09-01 02:24:00,214705.0
2024-09-01 02:25:00,214705.5
2024-09-01 02:26:00,214705.5
2024-09-01 02:27:00,214706.5
2024-09-01 02:28:00,214707.5
2024-09-01 02:29:00,214708.0
2024-09-01 02:30:00,214708.5
2024-09-01 02:31:00,214709.0
2024-09-01 02:32:00,214709.5
2024-09-01 02:33:00,214710.0
2024-09-01 02:34:00,214710.5
2024-09-01 02:35:00,214711.0
2024-09-01 02:36:00,214712.5
2024-09-01 02:37:00,214712.5
2024-09-01 02:38:00,214713.0
2024-09-01 02:39:00,214714.0
2024-09-01 02:40:00,214714.5
2024-09-01 02:41:00,214715.0
